Floor No.  Room No.   Status    Occupant 1     Occupant 2     Occupant 3     Occupant 4     Checkin   Checkout  Total Bill
-----------------------------------------------------------------------------------------------------------------------------
1          1          Booked    dd                                                          12/12/2023       14/12/2023        4000
1          2          Vacant                                                                0/0/0          0/0/0           0
1          3          Vacant                                                                0/0/0          0/0/0           0
1          4          Vacant                                                                0/0/0          0/0/0           0
1          5          Vacant                                                                0/0/0          0/0/0           0
1          6          Vacant                                                                0/0/0          0/0/0           0
1          7          Vacant                                                                0/0/0          0/0/0           0
1          8          Vacant                                                                0/0/0          0/0/0           0
1          9          Vacant                                                                0/0/0          0/0/0           0
1          10         Vacant                                                                0/0/0          0/0/0           0
-----------------------------------------------------------------------------------------------------------------------------
2          1          Vacant                                                                0/0/0          0/0/0           0
2          2          Vacant                                                                0/0/0          0/0/0           0
2          3          Vacant                                                                0/0/0          0/0/0           0
2          4          Vacant                                                                0/0/0          0/0/0           0
2          5          Vacant                                                                0/0/0          0/0/0           0
2          6          Vacant                                                                0/0/0          0/0/0           0
2          7          Vacant                                                                0/0/0          0/0/0           0
2          8          Vacant                                                                0/0/0          0/0/0           0
2          9          Vacant                                                                0/0/0          0/0/0           0
2          10         Vacant                                                                0/0/0          0/0/0           0
-----------------------------------------------------------------------------------------------------------------------------
3          1          Vacant                                                                0/0/0          0/0/0           0
3          2          Vacant                                                                0/0/0          0/0/0           0
3          3          Vacant                                                                0/0/0          0/0/0           0
3          4          Vacant                                                                0/0/0          0/0/0           0
3          5          Vacant                                                                0/0/0          0/0/0           0
3          6          Vacant                                                                0/0/0          0/0/0           0
3          7          Vacant                                                                0/0/0          0/0/0           0
3          8          Vacant                                                                0/0/0          0/0/0           0
3          9          Vacant                                                                0/0/0          0/0/0           0
3          10         Vacant                                                                0/0/0          0/0/0           0
-----------------------------------------------------------------------------------------------------------------------------
4          1          Vacant                                                                0/0/0          0/0/0           0
4          2          Vacant                                                                0/0/0          0/0/0           0
4          3          Vacant                                                                0/0/0          0/0/0           0
4          4          Vacant                                                                0/0/0          0/0/0           0
4          5          Vacant                                                                0/0/0          0/0/0           0
4          6          Vacant                                                                0/0/0          0/0/0           0
4          7          Vacant                                                                0/0/0          0/0/0           0
4          8          Vacant                                                                0/0/0          0/0/0           0
4          9          Vacant                                                                0/0/0          0/0/0           0
4          10         Vacant                                                                0/0/0          0/0/0           0
-----------------------------------------------------------------------------------------------------------------------------
5          1          Vacant                                                                0/0/0          0/0/0           0
5          2          Vacant                                                                0/0/0          0/0/0           0
5          3          Vacant                                                                0/0/0          0/0/0           0
5          4          Vacant                                                                0/0/0          0/0/0           0
5          5          Vacant                                                                0/0/0          0/0/0           0
5          6          Vacant                                                                0/0/0          0/0/0           0
5          7          Vacant                                                                0/0/0          0/0/0           0
5          8          Vacant                                                                0/0/0          0/0/0           0
5          9          Vacant                                                                0/0/0          0/0/0           0
5          10         Vacant                                                                0/0/0          0/0/0           0
